Store Number,Store Name,County Number
3740,Hometown Foods / Waterloo,7
3041,Shugar's Super Valu / Colfax,50
3645,Wal-Mart 1764 / Windsor Heights,77
3715,Kimberly Mart / Davenport,82
2233,Forbes Liquor Locker / remi,30
4837,Kum & Go #51 / Iowa City,52
5042,Super Stop III / Dubuque,31
2657,Hy-Vee Food Store / Bedford,87
3738,Hartig Drug Company #4 / Dubuque,31
3916,Smokin' Joe's #5 Tobacco and Liquor,90
4336,Last Call 2,60
5129,Cash Saver  /  Fleur,77
3618,Wal-Mart 2716 / Cedar Rapids,57
4633,Kwik Shop #520 / Carter Lake,78
4618,Hawkeye Convenience Stores East,57
3622,Wal-Mart 1415 / Spirit Lake,30
2191,Keokuk Spirits,56
3976,North English Family Food,48
4357,Kum & Go #125 / Story City,85
2665,Hy-Vee / Waukee,25
2636,Hy-Vee Wine and Spirits / Hubbell,77
4964,Jeff's Market / Wilton,70
2625,Hy-Vee Wine and Spirits #2,82
4402,KUM & GO #80 / RIVERSIDE,92
2579,Hy-Vee Food Store / Grinnell,79
3525,Wines and Spirits,92
3528,Super Target T-0804 Mason City,17
4829,Central City 2,77
2543,Hy-Vee Food Store #1 / Ottumwa,90
4318,Fareway Stores #841 / Red Oak,69
3420,Sam's Club 6344 / Windsor Heights,77
2569,Hy-Vee Food Store #2 / Cedar Rapids,57
2565,Hy-Vee Food Store / Spencer,21
4291,Fareway Stores #597 / Creston,88
4156,Fareway Stores #412 / Oelwein,33
5104,Rustic Lure Wine and Spirits,30
3868,Wal-Mart 3630 / Marion,57
3494,Sam's Club 6514 / Waterloo,7
5021,Kum & Go #608 / Okoboji,30
2561,Hy-Vee Food Store / Fleur / DSM,77
3912,Smokin' Joe's #14 Tobacco and Liquor,57
2667,Hy-Vee Mainstreet,97
2448,Bottle Boutique,91
4355,Kum & Go #124 / Story City,85
2566,Hy-Vee Food Store / Knoxville,63
4494,SELECT MART / SIOUX CITY,97
4345,Lucky Mart,79
3732,North Scott Foods,82
2627,Hy-Vee Wine and Spirits #1,77
4435,Kum & Go #220  Council Bluffs,78
3695,Mrs. B's Liquor,75
2649,Hy-Vee #3 / Dubuque,31
2616,Hy-Vee Food and Drug / Clinton,23
3932,Main Street Spirits / Mapleton,67
3773,Benz Distributing,57
3782,Bender Foods / Guttenburg,22
3849,Hartig Drug Co #6 / Dyersville,31
2607,Hy-Vee Wine and Spirits / Shenandoah,73
4019,Wal-Mart 1506 / Manchester,28
5037,Uncorked Wine & Spirits,37
3784,Hartig Drug #14 / Independence,10
4972,Quillins Quality Foods Monona,22
2487,Anamosa Family Foods,53
3870,Target Store T-1939 / Altoona,77
4995,Durant Street C-Store,83
3726,Wal-Mart 1285 / Ottumwa,90
3909,D And S Grocery,63
4884,Tobacco Hut #11 / Sioux City,97
4072,Famous Liquors,82
2602,Hy-Vee Food Store / Webster City,40
3612,B and C Liquor / Maquoketa,49
4490,Casey's General Store #2766 / Cedar,57
4750,Walgreens #04041 / Davenport,82
2290,Al's Liquors Unlimited,11
3917,Smokin' Joe's #2 Tobacco and Liquor,82
3390,Okoboji Avenue Liquor,30
4147,Fareway Stores #974 / Cedar Falls,7
4644,Kwik Shop #588 / Davenport,82
4197,Fareway Stores #014 / Sergeant Bluff,97
4411,KUM & GO #95 / DE SOTO,25
3651,Wal-Mart 1491 / Indianola,91
4869,Lindsanator's,22
2460,"Liquor Barn, Inc.",35
2475,"Private Cellar, Inc.",55
4986,218 Fuel Express & Chubby's Liquor,34
2353,Cresco Liquor Store,45
